Deprem,Borehole,Fault_Type,Mw,PGA,PGV,PGV2/PGA,lnIa,lnCAV5,R,R_star,Log_LSI,S,W,T15,NT,FC15,D5015,zcr,Vs,Observation,Reference
Loma Prieta (1989),EB-3,Reverse-oblique,7,0.25,19.19,1.5,-1.18,11.1,27.2,31.09,0.14,0,32.69,0.95,1.55,4,1.15,1.55,,25,"Hasançebi, Fault type Kramer 2003ten alındı"
Loma Prieta (1989),RC-B1,Reverse-oblique,7,0.25,19.19,1.5,-1.18,11.1,27.2,31.09,0.14,0,4.91,0,5.65,0,0,14.9,,7,"Hasançebi, Fault type Kramer 2003ten alındı"
Loma Prieta (1989),VC-B10,Reverse-oblique,7,0.25,19.19,1.5,-1.18,11.1,27.2,31.09,0.14,0,29.93,0.71,2.83,4,1.15,3.59,,28,"Hasançebi, Fault type Kramer 2003ten alındı"
Luzon (1990),PR_1,Strike-Slip,7.6,0.2,53.34,14.51,0.12,12.42,10,23.3,1.49,0.5,50,14.37,1.78,17.14,0.18,9.23,146,500,Al Bawwab
Luzon (1990),PR_2,Strike-Slip,7.6,0.2,53.34,14.51,0.12,12.42,10,23.3,1.49,0.5,1.05,10.78,1.92,18.75,0.16,4.23,147,200,Al Bawwab
Luzon (1990),PR_3,Strike-Slip,7.6,0.2,53.34,14.51,0.12,12.42,10,23.3,1.49,0.5,1.54,12.32,1.92,18.75,0.16,2.69,15,150,Al Bawwab
Luzon (1990),PR_11,Strike-Slip,7.6,0.2,53.34,14.51,0.12,12.42,10,23.3,1.49,0.5,12.5,7.6,5.5,15,0.2,10.38,148,400,Al Bawwab
Nihonkai Chubu (1983),N-1-77,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.56,0,4,2,5,0.35,2,186,43.07,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-2-78,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.59,0,6.71,7,5,0.35,13,179,182.42,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-2-79,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.59,0,5.16,2.84,2.86,0.35,9.97,173,189.12,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-2-80,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.78,0,3.45,1.5,2.5,0.35,8.66,180,263.55,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-2-81,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,3.83,0,0,4,0,0,6.97,,218.83,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-3-82,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,3.83,0,2.3,1.7,0,0.35,1.7,178,269.45,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-3-83,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,5.9,0,3.25,2.84,3.75,0.35,17,179,57.47,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-4-87,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.14,0,1,1.4,5,0.35,18,188,79.72,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-4-88,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.2,0,5.39,2.9,5,0.35,16,175,52.08,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-4-8,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.14,0,3.2,4,5,0.35,19,,43.28,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-5-89,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.14,0,2.01,1.6,2.5,0.35,18,,140.06,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-5-90,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.14,0,5.4,1.6,4.17,0.35,1.6,,78,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-6-91,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.59,0,7.87,2.2,3.57,0.35,3,182,171.61,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-6-92,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.59,0,5.25,2.6,3.33,0.35,2.6,,118.11,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-6-93,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.95,0,1,15.43,5,0.35,18,184,31.8,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-7-94,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.61,0,3,2,5,0.35,3,179,64.76,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),N-7-95,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.95,0,1,16,5,0.35,18,,163.16,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),31,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.14,0,1.6,2,5,0.35,2,188,9.2,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),32,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,1.14,0,0,2,0,0,5.1,,13.9,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),62,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.95,0,1.4,1.2,5,0.35,1.2,,76.57,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),64,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.95,0,4.8,1.2,5,0.35,1.2,,22.43,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),75,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.2,0,6.3,0.7,0,0.35,0.7,,23.2,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),91,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,1.45,4,5,0.35,7,,33.19,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-2-99,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,1.44,5,5,0.35,9.76,,248.32,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-4-101,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,2,4.6,3.33,0.35,4.5,,197.32,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-7-105,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,7.17,2,4,0.35,7,,135.99,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-7-106,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,3.51,0.7,3.33,0.35,1.4,,99.34,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-7-107,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,3.91,0.7,3.75,0.35,0.7,,56.26,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-8-108,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,8.07,0.6,3.57,0.35,0.6,,38.74,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-9-109,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,4.96,4.3,5,0.35,9.5,,132.39,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-11-92,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,3.65,2.6,3.57,0.35,2.6,,103.26,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-12-96,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,0.86,2,1.67,0.35,2,,171.12,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-12-97,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,2,0,1.3,0.7,2.5,0.35,3,,220.39,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Nihonkai Chubu (1983),S-12-98,Reverse,7.7,0.25,35,5,,13.84,27,43.33,0.78,0.2,0,1.91,8.6,5,0.35,8.6,,39.57,"Hasançebi, Midorikawa & Wakamatsu (1988)"
Niigata (1964),8.Sep,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0,10.3,1.3,5.27,0.33,11,173.6,115.3,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),0-1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,8.07,1.98,10.75,0.15,1.98,173.6,351.31,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),3.Feb,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.14,2,8.73,30,0.16,8.73,173.6,92.83,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),3.Jun,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.8,1.2,9.71,0.21,1.2,173.6,429.21,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),3.Jul,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.19,0,15.1,0.9,6.4,0.38,3.73,173.6,82.67,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),3.Aug,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,11,4.73,12,0.3,6.73,173.6,246.37,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),4.Jan,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7.8,0,8,0.15,1.7,173.6,63.95,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.79,0.94,7.13,0.6,16.5,0.17,0.6,173.6,63,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5.Jun,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.75,0.15,0,5.73,0,0,11.73,173.6,48.36,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5.Jul,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.98,0.14,3,2.73,5,0.35,4.73,173.6,18,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5.Aug,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.75,0,2.2,1.4,21,0.65,4.5,173.6,75.6,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5.Oct,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.75,0.08,2,5.73,5,0.35,7.73,173.6,91.08,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.15,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.19,0.11,7,3.23,12,0.15,3.23,173.6,98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.17,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.13,0,7.73,0,0,7.73,173.6,143,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.18,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.15,3.73,0,19.5,0.18,0.86,173.6,170,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.21,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.08,6.7,0,6.43,0.31,0.3,173.6,39,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.22,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.15,1,2.73,8,0.15,4.73,173.6,160,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.23,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.19,0.24,1,2.23,5,0.35,2.23,173.6,53.48,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.37,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.19,0.8,4.1,8,0.15,4.1,173.6,40.64,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.39,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.16,1.3,10.5,3.5,0.48,12.1,173.6,152.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5-40_1,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.84,0.08,9.6,2,5,0.68,11.9,173.6,120.89,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),5-40_2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.84,0.08,9.6,2,5,0.68,11.9,173.6,96.3,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.42,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,4.8,2,4,0.43,5.7,173.6,88.56,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),May.43,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.53,0.15,1.85,5.2,22.5,1.08,15.5,173.6,51.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),6.Jun,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,1.29,12.4,0.9,4.31,0.37,8,173.6,488.68,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),6.Aug,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,3.4,5,0.5,11.4,0.37,0.5,173.6,198.57,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),6.Oct,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.16,2.2,0.9,6.5,0.95,0.9,173.6,42,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964), 6-12 ,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.85,1.05,5,0.04,11,173.6,74,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Jun.16,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0,1,2,8,0.15,2,173.6,237,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Jun.17,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.2,3.5,3.5,16,0.15,4,173.6,38.64,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Jun.19,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.11,0.4,1.7,5,0.35,1.7,173.6,54.62,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964), 6-20 ,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.25,1.55,1.25,15,0.1,1.25,173.6,51,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),7.Jan,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.14,1.2,0,11.5,0.13,0.5,173.6,58.55,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964), 7-2 ,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.4,5.1,5,0.35,5.1,173.6,80.19,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),7.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.26,0,12.5,2.2,4.9,0.43,2.2,173.6,653,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),7.May,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.12,0.62,9.7,1.6,8,0.34,2.5,173.6,410,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),7.Aug,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1,6.5,2,0.6,11.5,173.6,300,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.Jan,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.8,5.2,11.5,0.13,8,173.6,287,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964), 8-2 ,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.3,0.7,8,0.15,6,173.6,206,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,8.3,2.3,5.38,0.33,2.3,173.6,282.62,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.Apr,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.9,1.9,6.8,0.23,6,173.6,376.58,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.May,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,3.6,0.3,0,0.01,2,173.6,153.05,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964), 8-7 ,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,13.9,0.3,6.69,0.22,5,173.6,113,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.Aug,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.07,10.7,1.1,5.2,0.4,11,173.6,210.61,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.Oct,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.13,0,2.2,7,6,0.6,7.8,173.6,86.28,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),8.Dec,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,9.1,0.5,5.38,0.33,6,173.6,134.57,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.08,9.5,0.3,7.55,0.35,6,173.6,125.16,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.19,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.06,10,3,6.5,0.25,7,173.6,114.73,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.30,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0,1.75,1.25,5.5,0.48,1.25,173.6,72.92,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.35,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0,4.4,2.6,8,0.15,2.6,173.6,145.55,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.37,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,5.4,2.6,12,0.29,4.3,173.6,210.78,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),Aug.43,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,0,11,0,0,12,173.6,35,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),9.Jan,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.11,3.19,0.86,5,0.35,0.86,173.6,78.84,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),10.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,2,1.5,8,0.15,1.5,173.6,77,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),11.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,1.06,0.21,3.5,0,8,0.15,4.5,173.6,130.98,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),14.Mar,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,1.7,1.1,0,0.01,1.5,173.6,48,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),72-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,6.92,0.48,5.5,1.06,0.48,173.6,153,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),78-2,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,10,0,0,11.1,0,0,13,173.6,148,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-3,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.66,0.32,0,9.5,0,0,9.5,176,21,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-4,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,3.03,0.21,6.8,7.8,12.8,0.3,18.5,176,21,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-8,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,2.66,0.26,11.87,2.03,7.92,0.35,13,176,139.86,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-9,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,7,2.5,12,0.18,0.8,176,75.84,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-11,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0.06,9.6,0.6,8,0.15,3.5,176,83,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-12,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,11.4,0.55,10.1,0.34,0.55,176,89.13,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-13,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0,0,10.11,0.8,6.2,0.27,3.89,176,156.94,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
Niigata (1964),F10-14,Reverse,7.5,0.19,30,4.83,0.82,12.82,21,31.84,0.8,0.38,0.11,3.69,3.01,8,0.15,5,176,113,"Hasançebi, Midorikawa & Wakamatsu (1988), Kayen (1997)den Ih değerleri alındı, Vsler Al Bawwabtan alındı"
